size,quicksort_time,quicksort_time_stddev,quicksort_comparison,quicksort_comparison_stddev,quicksort_swap,quicksort_swap_stddev,quicksort_tail_op_time,quicksort_tail_op_time_stdev,quicksort_tail_op_comparison,quicksort_tail_op_comparison_stddev,quicksort_tail_op_swap,quicksort_tail_op_swap_stdev,heapsort_time,heapsort_time_stddev,heapsort_comparison,heapsort_comparison_stddev,heapsort_swap,heapsort_swap_stddev
7600000,1045.415300,5.706594,231588672.400000,4067587.957480,114177615.500000,4012233.946425,1042.565600,9.221700,231588720.900000,4067587.413948,114177615.500000,4012233.946425,4946.920000,111.396527,512605018.800000,5827.976575,167068339.600000,1942.658858
7700000,1057.633600,4.692867,231070582.200000,2961575.514174,115618840.800000,3527003.612592,1054.276900,4.605470,231070633.100000,2961578.902248,115618840.800000,3527003.612592,5014.367300,107.127568,519738349.800000,6854.697656,169396116.600000,2284.899219
7800000,1073.484900,5.756641,235076348.200000,3872568.434811,117284226.600000,2602737.810993,1071.085300,5.737076,235076397.000000,3872569.976193,117284226.600000,2602737.810993,5111.375500,115.412288,526875715.200000,4472.310651,171725238.400000,1490.770217
7900000,1088.840900,4.490325,237263737.600000,4484544.267850,119616824.700000,4261362.058776,1099.156600,33.587617,237263784.700000,4484547.189129,119616824.700000,4261362.058776,5160.767100,94.023813,534017530.800000,7126.286562,174055843.600000,2375.428854
8000000,1099.359400,3.165909,241018930.600000,5149644.804900,120189285.000000,3082480.807454,1098.168200,5.176699,241018980.500000,5149646.151072,120189285.000000,3082480.807454,5240.467700,94.854297,541157045.700000,7997.047331,176385681.900000,2665.682444
8100000,1116.862100,5.340356,245047635.500000,4599066.811993,124775476.500000,3916845.741541,1114.079400,7.433975,245047680.800000,4599068.461097,124775476.500000,3916845.741541,5338.977100,103.535699,548305674.600000,6633.803045,178718558.200000,2211.267682
8200000,1127.710200,4.851479,247820394.600000,6204837.713691,124078098.400000,3982788.052175,1125.324500,4.996005,247820442.800000,6204837.751688,124078098.400000,3982788.052175,5431.374300,109.476366,555452441.700000,5928.879052,181050813.900000,1976.293017
8300000,1147.883900,8.258214,256519440.000000,5240931.057979,127556360.400000,4562110.639386,1146.111400,8.034574,256519489.000000,5240930.459920,127556360.400000,4562110.639386,5544.275800,104.683947,562600880.100000,6229.699631,183383626.700000,2076.566544
8400000,1161.298200,7.674239,255755155.700000,5434085.142066,124512846.400000,5258007.239008,1159.767800,7.551724,255755201.700000,5434087.638358,124512846.400000,5258007.239008,5616.152300,140.273818,569764642.800000,6690.870374,185721547.600000,2230.290125
8500000,1180.147400,16.851749,257896703.600000,5495446.508531,129404173.400000,6193173.149040,1183.369400,33.693940,257896752.600000,5495448.826835,129404173.400000,6193173.149040,5695.061100,124.930176,577026446.100000,6214.467241,188092148.700000,2071.489080
